ㄚ	a1
ㄌㄧㄡ	liu1
ㄌㄧㄡˊ	liu2
ㄌㄧㄡˇ	liu3
ㄌㄧㄡˋ	liu4
˙ㄌㄧㄡ	liu5
ㄌㄛ	lo1
˙ㄌㄛ	lo5
ㄌㄨㄥ	long1
ㄌㄨㄥˊ	long2
ㄌㄨㄥˇ	long3
ㄌㄨㄥˋ	long4
˙ㄌㄨㄥ	long5
ㄌㄡ	lou1
ㄌㄡˊ	lou2
ㄌㄡˇ	lou3
ㄌㄡˋ	lou4
˙ㄌㄡ	lou5
ㄌㄨ	lu1
ㄌㄨˊ	lu2
ㄌㄨˇ	lu3
ㄌㄨˋ	lu4
˙ㄌㄨ	lu5
ㄌㄨㄢˊ	luan2
ㄌㄨㄢˇ	luan3
ㄌㄨㄢˋ	luan4
ㄌㄨㄣ	lun1
ㄌㄨㄣˊ	lun2
ㄌㄨㄣˇ	lun3
ㄌㄨㄣˋ	lun4
ㄌㄨㄛ	luo1
ㄌㄨㄛˊ	luo2
ㄌㄨㄛˇ	luo3
ㄌㄨㄛˋ	luo4
˙ㄌㄨㄛ	luo5
ㄌㄩ	lv1
ㄌㄩˊ	lv2
ㄌㄩˇ	lv3
ㄌㄩˋ	lv4
˙ㄌㄩ	lv5
ㄌㄩㄢˊ	lvan2
ㄌㄩㄢˇ	lvan3
ㄌㄩㄝ	lve1
ㄌㄩㄝˇ	lve3
ㄌㄩㄝˋ	lve4
ㄇˊ	m2
ㄇˋ	m4
˙ㄇ	m5
ㄇㄚ	ma1
ㄇㄚˊ	ma2
ㄇㄚˇ	ma3
ㄇㄚˋ	ma4
˙ㄇㄚ	ma5
ㄇㄞˊ	mai2
ㄇㄞˇ	mai3
ㄇㄞˋ	mai4
˙ㄇㄞ	mai5
ㄇㄢ	man1
ㄇㄢˊ	man2
ㄇㄢˇ	man3
ㄇㄢˋ	man4
˙ㄇㄢ	man5
ㄇㄤ	mang1
ㄇㄤˊ	mang2
ㄇㄤˇ	mang3
ㄇㄤˋ	mang4
˙ㄇㄤ	mang5
ㄇㄠ	mao1
ㄇㄠˊ	mao2
ㄇㄠˇ	mao3
ㄇㄠˋ	mao4
˙ㄇㄠ	mao5
ㄇㄜ	me1
ㄇㄜˋ	me4
˙ㄇㄜ	me5
ㄇㄟˊ	mei2
ㄇㄟˇ	mei3
ㄇㄟˋ	mei4
˙ㄇㄟ	mei5
ㄇㄣ	men1
ㄇㄣˊ	men2
ㄇㄣˇ	men3
ㄇㄣˋ	men4
˙ㄇㄣ	men5
ㄇㄥ	meng1
ㄇㄥˊ	meng2
ㄇㄥˇ	meng3
ㄇㄥˋ	meng4
˙ㄇㄥ	meng5
ㄇㄧ	mi1
ㄇㄧˊ	mi2
ㄇㄧˇ	mi3
ㄇㄧˋ	mi4
˙ㄇㄧ	mi5
ㄇㄧㄢˊ	mian2
ㄇㄧㄢˇ	mian3
ㄇㄧㄢˋ	mian4
˙ㄇㄧㄢ	mian5
ㄇㄧㄠ	miao1
ㄇㄧㄠˊ	miao2
ㄇㄧㄠˇ	miao3
ㄇㄧㄠˋ	miao4
ㄇㄧㄝ	mie1
ㄇㄧㄝˋ	mie4
ㄇㄧㄣ	min1
ㄇㄧㄣˊ	min2
ㄇㄧㄣˇ	min3
˙ㄇㄧㄣ	min5
ㄇㄧㄥˊ	ming2
ㄇㄧㄥˇ	ming3
ㄇㄧㄥˋ	ming4
˙ㄇㄧㄥ	ming5
ㄇㄧㄡ	miu1
ㄇㄧㄡˋ	miu4
ㄇㄛ	mo1
ㄇㄛˊ	mo2
ㄇㄛˇ	mo3
ㄇㄛˋ	mo4
˙ㄇㄛ	mo5
ㄇㄡ	mou1
ㄇㄡˊ	mou2
ㄇㄡˇ	mou3
ㄇㄡˋ	mou4
ㄇㄨˊ	mu2
ㄇㄨˇ	mu3
ㄇㄨˋ	mu4
˙ㄇㄨ	mu5
ㄋㄚ	na1
ㄋㄚˊ	na2
ㄋㄚˇ	na3
ㄋㄚˋ	na4
˙ㄋㄚ	na5
ㄋㄞˊ	nai2
ㄋㄞˇ	nai3
ㄋㄞˋ	nai4
˙ㄋㄞ	nai5
ㄋㄢ	nan1
ㄋㄢˊ	nan2
ㄋㄢˇ	nan3
ㄋㄢˋ	nan4
˙ㄋㄢ	nan5
ㄋㄤ	nang1
ㄋㄤˊ	nang2
ㄋㄤˇ	nang3
ㄋㄤˋ	nang4
˙ㄋㄤ	nang5
ㄋㄠ	nao1
ㄋㄠˊ	nao2
ㄋㄠˇ	nao3
ㄋㄠˋ	nao4
˙ㄋㄠ	nao5
ㄋㄜˊ	ne2
ㄋㄜˋ	ne4
˙ㄋㄜ	ne5
ㄋㄟˇ	nei3
ㄋㄟˋ	nei4
˙ㄋㄟ	nei5
ㄋㄣˋ	nen4
˙ㄋㄣ	nen5
ㄋㄥˊ	neng2
ㄋㄥˇ	neng3
ㄋㄥˋ	neng4
ㄋㄧ	ni1
ㄋㄧˊ	ni2
